% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.021	1	11	3	2	1	0	19	0	0	0
0.021	1	11	3	2	1	0	19	0	0	1
0.022	1	11	3	3	1	0	19	0	0	0
0.022	1	11	3	3	1	0	19	0	0	1
0.023	1	11	3	4	1	0	19	0	0	0
0.023	1	11	3	4	1	0	19	0	0	1
0.024	1	11	3	5	1	0	19	0	0	0
0.024	1	11	3	5	1	0	19	0	0	1
0.025	1	11	3	6	1	0	19	0	0	0
0.025	1	11	3	6	1	0	19	0	0	1
0.026	1	3	3	7	10	0	19	0	0	0
0.026	1	3	3	7	10	0	19	0	0	1
0.027	1	11	3	8	1	28	549	0	0	0
0.027	1	11	3	8	1	28	549	0	0	1
0.028	1	11	3	9	1	28	549	0	0	0
0.028	1	11	3	9	1	28	549	0	0	1
0.029	1	3	3	10	10	0	19	0	0	0
0.029	1	3	3	10	10	0	19	0	0	1
0.03	1	11	4	1	1	28	549	0	0	0
0.03	1	11	4	1	1	28	549	0	0	1
0.031	1	3	4	2	10	28	549	0	0	0
0.031	1	3	4	2	10	28	549	0	0	1
0.032	1	6	4	3	20	0	19	0	0	0
0.032	1	6	4	3	20	0	19	0	0	1
0.033	1	3	4	4	10	28	549	0	0	0
0.033	1	3	4	4	10	28	549	0	0	1
0.034	1	6	4	5	20	0	19	0	0	0
0.034	1	6	4	5	20	0	19	0	0	1
0.035	1	3	4	6	10	28	549	0	0	0
0.035	1	3	4	6	10	28	549	0	0	1
0.036	1	11	4	7	1	28	549	0	0	0
0.036	1	11	4	7	1	28	549	0	0	1
0.037	1	6	4	8	20	28	549	0	0	0
0.037	1	6	4	8	20	28	549	0	0	1
0.038	1	10	4	9	31	0	19	0	0	0
0.038	1	10	4	9	31	0	19	0	0	1
0.039	1	6	4	10	20	28	549	0	0	0
0.039	1	6	4	10	20	28	549	0	0	1
0.04	1	10	5	1	31	0	19	0	0	0
0.04	1	10	5	1	31	0	19	0	0	1
0.041	1	6	5	2	20	28	549	0	0	0
0.041	1	6	5	2	20	28	549	0	0	1
0.042	1	3	5	3	10	28	549	0	0	0
0.042	1	3	5	3	10	28	549	0	0	1
0.043	1	10	5	4	31	28	549	0	0	0
0.043	1	10	5	4	31	28	549	0	0	1
0.044	1	1	5	5	39	0	19	0	0	0
0.044	1	1	5	5	39	0	19	0	0	1
0.045	1	10	5	6	31	28	549	0	0	0
0.045	1	10	5	6	31	28	549	0	0	1
0.046	1	1	5	7	39	0	19	0	0	0
0.046	1	1	5	7	39	0	19	0	0	1
0.047	1	10	5	8	31	28	549	0	0	0
0.047	1	10	5	8	31	28	549	0	0	1
0.048	1	6	5	9	20	28	549	0	0	0
0.048	1	6	5	9	20	28	549	0	0	1
0.049	1	1	5	10	39	28	549	0	0	0
0.049	1	1	5	10	39	28	549	0	0	1
0.05	1	4	6	1	44	0	19	0	0	0
0.05	1	4	6	1	44	0	19	0	0	1
0.051	1	1	6	2	39	28	549	0	0	0
0.051	1	1	6	2	39	28	549	0	0	1
0.052	1	4	6	3	44	0	19	0	0	0
0.052	1	4	6	3	44	0	19	0	0	1
0.053	1	1	6	4	39	28	549	0	0	0
0.053	1	1	6	4	39	28	549	0	0	1
0.054	1	10	6	5	31	28	549	0	0	0
0.054	1	10	6	5	31	28	549	0	0	1
0.055	1	4	6	6	44	28	549	0	0	0
0.055	1	4	6	6	44	28	549	0	0	1
0.056	1	7	6	7	52	0	19	0	0	0
0.056	1	7	6	7	52	0	19	0	0	1
0.057	1	4	6	8	44	28	549	0	0	0
0.057	1	4	6	8	44	28	549	0	0	1
0.058	1	7	6	9	52	0	19	0	0	0
0.058	1	7	6	9	52	0	19	0	0	1
0.059	1	4	6	10	44	28	549	0	0	0
