% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.041	1	11	1	62.3709	0
0.041	2	11	1	62.2741	1
0.05	1	3	10	62.3709	0
0.05	2	3	10	62.2741	1
0.06	1	6	20	62.3709	0
0.06	2	6	20	62.2741	1
0.071	1	10	31	62.3709	0
0.071	2	10	31	62.2741	1
0.079	1	1	39	62.3709	0
0.079	2	1	39	62.2741	1
0.08	1	12	59	62.3709	0
0.08	2	12	59	62.2741	1
0.081	1	11	1	62.3709	0
0.081	2	11	1	62.2741	1
0.082	1	5	78	62.3709	0
0.082	2	5	78	62.2741	1
0.085	1	4	44	62.3709	0
0.085	2	4	44	62.2741	1
0.086	1	9	65	62.3709	0
0.086	2	9	65	62.2741	1
0.087	1	8	83	62.3709	0
0.087	2	8	83	62.2741	1
0.09	1	3	10	62.3709	0
0.09	2	3	10	62.2741	1
0.094	1	7	52	62.3709	0
0.094	2	7	52	62.2741	1
0.095	1	14	72	62.3709	0
0.095	2	14	72	62.2741	1
0.1	1	6	20	62.3709	0
0.1	2	6	20	62.2741	1
0.111	1	10	31	62.3709	0
0.111	2	10	31	62.2741	1
0.119	1	1	39	62.3709	0
0.119	2	1	39	62.2741	1
0.12	1	12	59	62.3709	0
0.12	2	12	59	62.2741	1
0.121	1	11	1	62.3709	0
0.121	2	11	1	62.2741	1
0.122	1	5	78	62.3709	0
0.122	2	5	78	62.2741	1
0.123	1	2	90	62.3709	0
0.123	2	2	90	62.2741	1
0.125	1	4	44	62.3709	0
0.125	2	4	44	62.2741	1
0.126	1	9	65	62.3709	0
0.126	2	9	65	62.2741	1
0.127	1	8	83	62.3709	0
0.127	2	8	83	62.2741	1
0.128	1	15	92	62.3709	0
0.128	2	15	92	62.2741	1
0.13	1	3	10	62.3709	0
0.13	2	3	10	62.2741	1
0.132	1	13	87	62.3709	0
0.132	2	13	87	62.2741	1
0.134	1	7	52	62.3709	0
0.134	2	7	52	62.2741	1
0.135	1	14	72	62.3709	0
0.135	2	14	72	62.2741	1
0.14	1	6	20	62.3709	0
0.14	2	6	20	62.2741	1
0.151	1	10	31	62.3709	0
0.151	2	10	31	62.2741	1
0.159	1	1	39	62.3709	0
0.159	2	1	39	62.2741	1
0.16	1	12	59	62.3709	0
0.16	2	12	59	62.2741	1
0.161	1	11	1	62.3709	0
0.161	2	11	1	62.2741	1
0.162	1	5	78	62.3709	0
0.162	2	5	78	62.2741	1
0.163	1	2	90	62.3709	0
0.163	2	2	90	62.2741	1
0.165	1	4	44	62.3709	0
0.165	2	4	44	62.2741	1
0.166	1	9	65	62.3709	0
0.166	2	9	65	62.2741	1
0.167	1	8	83	62.3709	0
0.167	2	8	83	62.2741	1
0.168	1	15	92	62.3709	0
0.168	2	15	92	62.2741	1
0.17	1	3	10	62.3709	0
0.17	2	3	10	62.2741	1
0.172	1	13	87	62.3709	0
0.172	2	13	87	62.2741	1
0.174	1	7	52	62.3709	0
0.174	2	7	52	62.2741	1
0.175	1	14	72	62.3709	0
0.175	2	14	72	62.2741	1
0.18	1	6	20	62.3709	0
0.18	2	6	20	62.2741	1
0.191	1	10	31	62.3709	0
0.191	2	10	31	62.2741	1
0.199	1	1	39	62.3709	0
0.199	2	1	39	62.2741	1
0.2	1	12	59	62.3709	0
0.2	2	12	59	62.2741	1
0.201	1	11	1	62.3709	0
0.201	2	11	1	62.2741	1
0.202	1	5	78	62.3709	0
0.202	2	5	78	62.2741	1
0.203	1	2	90	62.3709	0
0.203	2	2	90	62.2741	1
0.205	1	4	44	62.3709	0
0.205	2	4	44	62.2741	1
0.206	1	9	65	62.3709	0
0.206	2	9	65	62.2741	1
0.207	1	8	83	62.3709	0
0.207	2	8	83	62.2741	1
0.208	1	15	92	62.3709	0
0.208	2	15	92	62.2741	1
0.21	1	3	10	62.3709	0
0.21	2	3	10	62.2741	1
0.212	1	13	87	62.3709	0
0.212	2	13	87	62.2741	1
0.214	1	7	52	62.3709	0
0.214	2	7	52	62.2741	1
0.215	1	14	72	62.3709	0
0.215	2	14	72	62.2741	1
0.22	1	6	20	62.3709	0
0.22	2	6	20	62.2741	1
0.231	1	10	31	62.3709	0
0.231	2	10	31	62.2741	1
0.239	1	1	39	62.3709	0
0.239	2	1	39	62.2741	1
0.24	1	12	59	62.3709	0
0.24	2	12	59	62.2741	1
0.241	1	11	1	62.3709	0
0.241	2	11	1	62.2741	1
0.242	1	5	78	62.3709	0
0.242	2	5	78	62.2741	1
0.243	1	2	90	62.3709	0
0.243	2	2	90	62.2741	1
0.245	1	4	44	62.3709	0
0.245	2	4	44	62.2741	1
0.246	1	9	65	62.3709	0
0.246	2	9	65	62.2741	1
0.247	1	8	83	62.3709	0
0.247	2	8	83	62.2741	1
0.248	1	15	92	62.3709	0
0.248	2	15	92	62.2741	1
0.25	1	3	10	62.3709	0
0.25	2	3	10	62.2741	1
0.252	1	13	87	62.3709	0
0.252	2	13	87	62.2741	1
0.254	1	7	52	62.3709	0
0.254	2	7	52	62.2741	1
0.255	1	14	72	62.3709	0
0.255	2	14	72	62.2741	1
0.26	1	6	20	62.3709	0
0.26	2	6	20	62.2741	1
0.271	1	10	31	62.3709	0
0.271	2	10	31	62.2741	1
0.279	1	1	39	62.3709	0
0.279	2	1	39	62.2741	1
0.28	1	12	59	62.3709	0
0.28	2	12	59	62.2741	1
0.281	1	11	1	62.3709	0
0.281	2	11	1	62.2741	1
0.282	1	5	78	62.3709	0
0.282	2	5	78	62.2741	1
0.283	1	2	90	62.3709	0
0.283	2	2	90	62.2741	1
0.285	1	4	44	62.3709	0
0.285	2	4	44	62.2741	1
0.286	1	9	65	62.3709	0
