% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
32	1	11	1	0	0	19	0	1	0
32	2	11	1	0	0	19	0	1	1
33	1	11	1	0	0	19	0	1	0
33	2	11	1	0	0	19	0	1	1
34	1	11	1	0	0	19	0	1	0
34	2	11	1	0	0	19	0	1	1
35	2	11	1	0	0	19	0	1	1
36	1	11	1	0	0	19	0	1	0
36	2	11	1	0	0	19	0	1	1
37	1	3	10	0	0	7	0	1	0
37	1	11	1	0	0	7	0	1	0
37	2	3	10	0	0	7	0	1	1
37	2	11	1	0	0	7	0	1	1
38	1	3	10	0	0	7	0	1	0
38	1	11	1	0	0	7	0	1	0
38	2	3	10	0	0	7	0	1	1
38	2	11	1	0	0	7	0	1	1
39	1	3	10	0	0	7	0	1	0
39	1	11	1	0	20	161	0	1	0
39	2	3	10	0	0	7	0	1	1
39	2	11	1	0	0	7	0	1	1
40	1	3	10	0	0	7	0	1	0
40	1	11	1	0	20	161	0	1	0
40	2	3	10	0	0	7	0	1	1
40	2	11	1	0	0	7	0	1	1
41	2	3	10	0	0	7	0	1	1
41	2	11	1	0	0	7	0	1	1
42	1	3	10	0	0	7	0	1	0
42	1	11	1	0	20	161	0	1	0
42	2	3	10	0	0	7	0	1	1
42	2	11	1	0	0	7	0	1	1
43	1	3	10	0	0	7	0	1	0
43	1	11	1	0	20	161	0	1	0
43	2	3	10	0	0	7	0	1	1
43	2	11	1	0	0	7	0	1	1
44	1	11	1	0	20	161	0	1	0
44	1	6	20	0	0	7	0	1	0
44	2	6	20	0	0	7	0	1	1
44	2	11	1	0	0	7	0	1	1
45	1	3	10	0	0	7	0	1	0
45	1	6	20	0	0	7	0	1	0
45	2	6	20	0	0	7	0	1	1
45	2	3	10	0	0	7	0	1	1
46	1	11	1	0	20	161	0	1	0
46	2	3	10	0	0	7	0	1	1
46	2	11	1	0	0	7	0	1	1
47	2	6	20	0	0	7	0	1	1
47	2	11	1	0	20	161	0	1	1
48	1	11	1	0	20	161	0	1	0
